tier,accountId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,puuid
CHALLENGER,TowgCtw-2taMKYOKre7rOoKwv0_EX4slwKf5sCGD1TY12g_9BhR6CwNnBw,hxqeyff,1031,614,542,True,False,False,QURNaQl6x2P9pZ6lIieRtARhNR1u-6Nls0BAN4nmkjfPx_znnq8zA2iY3MFa0wN_2a3LrQZVZAI4uQ
CHALLENGER,WGyl-unCrjtf5qRjDYqK3jp47AWkmX3VwtOnPNTBY-sFCAk,DK ShowMaker,1092,360,278,False,False,False,8rRXH4wBjXf9o5YeuIUxV7suD0ZQondXBHZ5ev5isdqKUEp0E8-v0lz4hpp5tZw0difU0gS_y2DVhA
CHALLENGER,l7fUZcp8NoWOM_CFsoyw2_DqFsNw0ze9GBYyj-OcGUyktrk,lIlIIllIlIIllIlI,962,281,221,False,False,False,eZ6tJekUkEMAf6YD--AhdheBYDzyDioW2ww8puUGq3Zaa38w05q7ubBTz73BXGbAFmTBkWRp03eXAQ
CHALLENGER,jNwqUcskuLimR7vLIWhNQNzshEYK6hS0PJyTPO5CckPOd2M,DreammaerD,1215,553,477,True,False,False,kPLzT_Dk2FFk5IybliLn3-f7a2CpZKNumVra0xRO5uez8qo5LZp9wYBnDxCF6lQcUYvooGoktLbgDg
CHALLENGER,Dji1qO5YdvI70arg_KLp4T7GrZe6aHkYqPqCDeZ-sHj2nmk,난화내,1400,1081,991,True,False,False,vctv349OxJgsTvx_drE3OijRqKiBvvy73KbnqYqXBH8bE-H91xeHCwhJDOxnlIGJFqoIqoNTLHOgIQ
CHALLENGER,Ixyytv_lTPmf5MFoFuCPLv2N9N5QCQGSeoStNYFrhbl8RTI,도구는 툴툴,1037,599,527,False,False,False,oQZ_BxegnGZSieVr3_ygPvcWtQ4mriWIViawZGXwKWKUM53eMUk3ggrXnNs0SuyAxsKo2Vh72dL6nQ
CHALLENGER,E1dsERakfgro_9vmNAsjI697s1NYFZBY0PGuVXZlCcPlbkQ,SLOW Shiba64,924,526,454,False,False,False,UCm9x29rj0t465v0uTxREvKdO2kZmvYJ4vqIu2LTw8PCkX9yf6CXiQtuUKmoMYXLfbYwUUGbRKMZRg
CHALLENGER,i004B9dA-ba77VfvIWZqsb5brh1dwHD9VlZ-zVdoK7iLI3AU9ny-UhdlMQ,쏘귀요미,1215,259,188,False,False,False,5fjOQP2nThG6BTxpjbURAyDUnXafdMZgKaqsIxfD7eZSB1m-RePTIHa8qgYemwKAYND4mzVVXI0PSg
CHALLENGER,H8l_nmR7qfhZy9UoHz6nyt9xjMSLQTv8eeYd7R1Thua7fX8,정훈이의 모험,939,346,291,False,False,False,jiGu5CbvPi-OvEf7E9tHTF17jdZq1NDn7OI6375jdgD-PB10_ClKuU2UcJyKO6NhWI3-Y6rIWHph1g
CHALLENGER,00v1jadiaiipkTE0O-Nt9jU391vhzzHqPztEypBv4X-eiBI,XdXFncyDml0,1029,711,648,True,False,False,uMcwft3F5kVda1m9LF03973hBoGIhzqycFz7gutG7DLweeYJqzmn650UVdHxRFSOCQDVRT4o5s1nog
CHALLENGER,yeHgqrgLxr7aTd3P7xQwXwU4Xtao_UCFR2MWne3KHuP0XF7HCkAzlBAeWQ,DK Bible,929,285,232,False,False,False,wyZnzNw6TflUiJZraqiNruD82H1G5lba1F-iP8ZAw-3SRY3Gf6CenMeUStY3lBcKvoPVZymlOUMz8g
CHALLENGER,94aAVeI6CYx6xZOiWU9gPkIUK6sEzKPxXotuF2DzYmfMDvo,Quad,971,343,274,False,False,False,QC5b4kkac8NKuIP4cL0o0TVXW16smT16iE4bTiinD44njLQr36yt1hsYcGtvDGLoQGQge24i--wqgw
CHALLENGER,3lL4yp_DJW8ef-nM8GP2UdIiH_aIA0rz-E8O969mtG5nt-l-9Zs8k13T9Q,내 지난 날들은,926,358,290,False,False,False,ZlIFIoI_eWjvVYy6nOzFoMQEpgvVu4SAaFhTsILytpubk8YKEYidb0VkQvyTgviUbuIGkMRE0dFJLQ
CHALLENGER,9j2LYQkZDr1KOGGJ_1nMXrMFJEqPQBPep-tluCP0tDtTPPSC,Pangsu,944,1016,951,False,False,False,BNAJQamlUIqoZLZfkINWxD1MN7I14OIQwJVQnJaPWIo3OmXtf28kedCZwVoEMw8Bmiz4Fz1Cj4fS_Q
CHALLENGER,pTX_QbJO8JMLm79EbIcYITVhn4446fL958W8rnyny6TBosEFqAyX2rX0cA,Enosh3,1126,925,834,True,False,False,-Ogll1IiQSKJs7UynBzBlVl2SjTTQFWOH7bVihN4CHawM6tpMh9fWYv3UZw_S8N9iPDbEf_Y1tnolg
CHALLENGER,0j_LLLYwMNWN22ze-MzyMW2ghp5qEPQepbUtlK7V9fTe8Es,Kim Sang Hoon,1000,463,400,False,False,False,ZBHnTWqNvUKvQ7MPkPR2iVu9EoQINni5S_V1T3U_GJg19a3EcLZJtFj46Xpv_iLm3tvT1qL-jN2mAA
CHALLENGER,kpoyhlGGpmXOq9dLv6bLCwdp-LgIE949Mcr9sOiBr6_pysw,Gen G Casting,1001,794,743,False,False,False,mn8onjulcL3KXi2KqmlRyEGNjYkLEKobljXwUnFqxVvVBFkYOgRhC0CGX6E4s7R2bEgaBSVHcOqJyg
CHALLENGER,PN-fhwv1kyIOBYcL-PDE_Oj7HIq67klbEGXK9rRQwBz9OD0,SBXG Clozer,933,761,701,False,False,True,LvKmdOIz4n8u04jKr1cmcIXPY4qSbheTY9qUJG8S8iiqUpoL3fQGeZDcoF2ZPYOlBxHJmNKAb_jBnQ
CHALLENGER,y8tEwh6iPzE9ZhxR9xhq5VzpbrtOkGL2ftSMtwbyCwF4tO0,kiin,1402,298,209,True,False,False,a8oO0TjjrTazdyPVeGcsI1AZuFVJvuAc3ZEBJ9ELi2viM2H011Hkqlez41uBbNzU19fMAVNA5mecLg
CHALLENGER,TxRqSnQyer-DAANH4yULL8toWHX264pihuTGawXOus_SMQ4,qweqweqwerrr,1024,361,304,True,False,False,rlr6fYG1jNS2UL9TcFKXcdepD_-9Ehei145g7-9tOFp8MFi3QZ3NVNXi1Ql50Y-HbJYZEuwlwvpxPw
CHALLENGER,h_GUq3MNA0ykH-HKn9hVFYg1_Uds-creYe7vnYdm8OXFRTc,vital0,978,297,230,False,False,True,Aiq0Liogm4eMmgqbuNVT3XSO54Wj2N80_-t6hYWsLpH4oqJumNz-Y5AXxX1wmdpfgc4t7jj-N6IgKA
CHALLENGER,iZQW5Ve3LjiTRCyPojMGCXEzivkdLpYLT43AhY_Ak9ggZA,언니우기,1107,297,229,True,False,False,FuhgQTdy5zl1YKaV5pFZI7VaQ7qj47gteha-HQWTl6HOaLUoj-wT71aAvfdwUewRBwl-RY7IXlLApg
CHALLENGER,QcF6TwnAlUkDOHdWVelYtoBLj8y_u8TN4uNKFP11elfC-zbixxt4GGTOvw,소기 매스꺼워,1060,788,730,False,False,False,AIMvD7UTOFIGAxiYp0rrfyMebkIFKMtNI29ZDkTie5tVrNI62bbtKmszNUQbdfsDNzjbW3ezncU9GA
CHALLENGER,4jadOOByP9QqryKkmIdMlHHAg9nsJjBrMBLzuN0Qx1pQb-2xvgibKaWRUw,Ssry My Bed,975,1174,1122,False,False,False,wSAOWozyUnXgFZgi9M11aFrbUXFJphPzJ8v8ko2G2L01UAwYxq3qeRHyBIaDBgZN6nhVSJprQepxGg
CHALLENGER,pE2kMl3_w1IFkljyHmP0OMorXhdqF5s-qEVOz_66Z5AJ7K7pkINuLwwZlQ,yeshubin,977,266,196,False,False,False,yOFj_Kj6H80fa4P_xVRa-a6IchevRmrSilhFlj_zf2vy9GtTo1zjfNQaUGxagGjh3fa6P5ctCj9BLg
CHALLENGER,bdoOp3wjP8nx56w2q7botJUtw7dYUMuvMx8yyGCTU1kWlmU,Kariszz,1130,531,460,True,False,False,ZR0vFE6WOE5JZB7fNm7hnaF2tE1EsqP6EgGHyYyso2c0vsIDWENsS1XqM6eiEO2ap9VsUac4GVal8g
CHALLENGER,00MTTYHckR34Ftmg2zuk6ft13SBjzWmqTp8lKUpwGP4QjSW04wYXbFcbCA,aaw4,964,380,300,True,False,False,HfvtfmMYAvp9M4k0k8akxBU-CdT7eh5h58IMIvRzkXFA71d45cDtPM-84RyWGFuBoqdHU668Z3RmMg
CHALLENGER,kbq-xmv1mzHxTYxjvyqjbYVxGdLmCHk1y3fW2p4GaFHcXPxWQPS8twSTow,Cry Outt,979,224,169,True,False,False,O0zy3YfLZ2nxIpQTjAwEg3ex7vK9Sd1NisrmclucuKAQIRnWlVxL9oTVkhR4R8dP4lNBhqhjgTiQ8A
CHALLENGER,5YLFD-6MATgS1x7OU205M-r-WeVr58EIfWous5nNHbYv7CY,음바페홀란,1040,691,626,False,False,False,tfK5L94RbdYrHzO0TcF2rGl8QFRIMALjkcZLggpOcGVtyDlgK7t9cF49-c4grwrDSwWJIscJbYuJpw
CHALLENGER,gdQtLxIKUasegFrCd713EdJikaq5wXivzVP2hQd3QvgNUCbAYY5qIP6HTw,몽키차이나,918,611,558,False,False,True,k4iRdyIvj7v_l0jP0TEnEpWVHrW8ViLciKg6H5yRoQsQDXCkD6WkQ8hidsZUE5-lVnaOz3QaSSWAaw
